index,time_abs,time_delta,j1,j2,j3,j4,j5,j6
1,0.467,0.345,-3.0587244207051025,0.019669860669976093,1.8166957651083777,-0.02125811028929093,1.139996707525136,-3.2311280442171024
2,0.725,0.257,-2.9509503393944527,0.021519909677090086,1.7675821999572574,-0.0360759556387228,1.0928204578437295,-3.2023999247292756
3,0.982,0.239,-2.8431937113763226,0.023352505391684132,1.7184860880986568,-0.05089380098815465,1.0456616614548426,-3.1736718052414488
4,1.239,0.241,-2.735419630065673,0.025202554398798118,1.6693725229475362,-0.06572909963010645,0.9984854117734361,-3.1449436857536224
5,1.496,0.24,-2.627663002047543,0.027052603405912107,1.620258957796416,-0.0805469449795383,0.9513091620920293,-3.1162155662657955
6,1.754,0.24,-2.519906374029413,0.028902652413026097,1.5711628459378155,-0.09536479032897018,0.9041329124106224,-3.087487446777969
7,2.011,0.241,-2.412132292718763,0.030752701420140086,1.5220492807866948,-0.11018263567840202,0.8569741160217358,-3.0587593272901423
8,2.268,0.24,-2.3043756647006335,0.03260275042725408,1.4729531689280946,-0.12501793432035382,0.8097978663403291,-3.0300312078023155
9,2.525,0.241,-2.1966190366825034,0.03445279943436806,1.423839603776974,-0.1398357796697857,0.7626216166589223,-3.0013030883144887
10,2.783,0.241,-2.0888449553718536,0.03628539514896211,1.3747434919183734,-0.15465362501921756,0.7154628202700355,-2.9725749688266623
11,3.04,0.241,-1.9810883273537234,0.0381354441560761,1.325629926767253,-0.1694714703686494,0.6682865705886287,-2.9438468493388354
12,3.297,0.241,-1.8733142460430736,0.03998549316319009,1.2765163616161326,-0.1843067690106012,0.6211103209072221,-2.915118729851009
13,3.554,0.24,-1.765557618024944,0.04183554217030407,1.2274202497575322,-0.19912461436003306,0.5739340712258153,-2.8863906103631822
14,3.812,0.239,-1.6578009900068138,0.04368559117741807,1.1783066846064119,-0.2139424597094649,0.5267752748369285,-2.857662490875356
15,4.069,0.242,-1.5500269086961642,0.04553564018453206,1.1292105727478112,-0.22877775835141673,0.47959902515552183,-2.8289518246800487
16,4.326,0.241,-1.442270280678034,0.04738568919164605,1.0800970075966907,-0.2435956037008486,0.43242277547411506,-2.8002237051922223
17,4.584,0.241,-1.3345136526599044,0.04921828490624009,1.0310008957380905,-0.2584134490502804,0.38526397908522836,-2.7714955857043955
18,4.841,0.24,-1.2267395713492546,0.05106833391335409,0.98188733058697,-0.2732312943997123,0.33808772940382154,-2.742767466216569
19,5.098,0.24,-1.1189829433311245,0.05291838292046807,0.9327737654358496,-0.2880665930416641,0.2909114797224148,-2.714039346728742
20,5.355,0.25,-1.0112088620204747,0.05476843192758206,0.883677653577249,-0.3028844383910959,0.2437352300410081,-2.6853112272409154
21,5.613,0.239,-0.9034522340023448,0.056618480934696055,0.8345640884261286,-0.3177022837405278,0.19657643365212132,-2.656583107753089
22,5.87,0.241,-0.7956956059842148,0.05846852994181004,0.785467976567528,-0.33252012908995965,0.1494001839707146,-2.627854988265262
23,6.127,0.241,-0.6879215246735649,0.06031857894892403,0.7363544114164076,-0.34735542773191147,0.10222393428930789,-2.599126868777436
24,6.384,0.241,-0.580164896655435,0.06215117466351808,0.6872582995578072,-0.36217327308134334,0.05506513790042109,-2.570398749289609
25,6.642,0.24,-0.4724082686373052,0.06400122367063206,0.6381447344066867,-0.3769911184307752,0.00788888821901437,-2.5416706298017826
26,6.899,0.24,-0.3646341873266553,0.06585127267774606,0.5890486225480862,-0.391826417072727,-0.03928736146239235,-2.5129425103139553
27,7.156,0.239,-0.2568775593085254,0.06770132168486004,0.5399350573969658,-0.40664426242215884,-0.08646361114379908,-2.484214390826129
28,7.413,0.24,-0.14910347799787557,0.06955137069197403,0.49082149224584537,-0.4214621077715907,-0.13362240753268587,-2.455486271338302
29,7.671,0.24,-0.04134684997974567,0.07140141969908803,0.4417253803872449,-0.4362799531210226,-0.1807986572140926,-2.4267581518504757
30,8.068,0.381,0.06640977803838424,0.07325146870620201,0.39261181523612443,-0.4511152517629744,-0.22797490689549932,-2.398030032362649
31,8.428,0.36,0.06220353454107791,0.06869615935849681,0.3666238626739289,-0.420432363512914,-0.2125636496003894,-2.2385418453154067
32,8.648,0.22,0.05797983775125163,0.06415830330331156,0.3406184568192133,-0.3897669285553737,-0.19715239230527945,-2.0790362049756452
33,8.851,0.149,0.05375614096142535,0.05960299395560636,0.3146130509644978,-0.3591014935978333,-0.18174113501016953,-1.9195305646358836
34,9.054,0.133,0.04953244417159908,0.05506513790042109,0.2886076451097824,-0.328418605347773,-0.16632987771505958,-1.7600423775886418
35,9.257,0.132,0.04532620067429274,0.0505098285527159,0.26261969254758677,-0.2977531703902326,-0.1509186204199497,-1.60053673724888
36,9.46,0.131,0.041102503884466464,0.04597197249753064,0.23661428669287127,-0.26708773543269226,-0.13550736312483974,-1.4410485502016381
37,9.663,0.133,0.036878807094640184,0.04143411644234538,0.21060888083815574,-0.23642230047515186,-0.12009610582972982,-1.2815429098618765
38,9.867,0.132,0.032655110304813904,0.036878807094640184,0.18460347498344024,-0.20573941222509157,-0.10468484853461989,-1.1220547228146345
39,10.07,0.142,0.02844886680750757,0.032340951039454925,0.15861552242124466,-0.1750739772675512,-0.08927359123950997,-0.9625490824748727
40,10.273,0.133,0.02422517001768129,0.027785641691749727,0.13261011656652916,-0.14440854231001082,-0.07386233394440003,-0.803043442135111
41,10.476,0.131,0.020001473227855015,0.02324778563656447,0.10660471071181364,-0.11372565405995051,-0.0584510766492901,-0.643555255087869
42,10.679,0.132,0.01577777643802874,0.01869247628885927,0.08061675814961808,-0.08306021910241015,-0.04303981935418017,-0.48404961474810737
43,10.882,0.132,0.011571532940722405,0.014154620233674014,0.05461135229490257,-0.05239478414486977,-0.027628562059070237,-0.32456142770086555
44,11.115,0.162,0.007347836150896127,0.009616764178488757,0.02860594644018706,-0.02171189589480946,-0.012217304763960306,-0.16505578736110377
45,11.678,0.521,0.00312413936106985,0.005061454830783556,0.0026005405854715507,0.00895353906273091,0.003193952531149623,-0.005550147021341968
1,0.528,0.504,0.016720254234105676,-0.009791297103688189,0.0030543261909900766,0.07681194038027044,0.007819075048934596,-0.14521139376592823
2,0.747,0.219,0.030333822399661446,-0.024609142453120045,0.003543018381548489,0.1446354351127701,0.012461650859239512,-0.2848551872179946
3,0.925,0.122,0.043947390565217216,-0.039426987802551904,0.004014257279586958,0.21247638313778966,0.017086773377024488,-0.42451643396258076
4,1.103,0.082,0.05757841202329293,-0.054244833151983765,0.0045029494701453706,0.28031733116280927,0.02171189589480946,-0.564160227414647
5,1.28,0.081,0.0711919801888487,-0.06906267850141562,0.004991641660703782,0.3481582791878289,0.026354471705114377,-0.7038040208667135
6,1.458,0.081,0.08480554835440447,-0.08389797714336743,0.005480333851262195,0.4159992272128485,0.030979594222899347,-0.8434652676112996
7,1.636,0.081,0.09841911651996024,-0.09871582249279927,0.0059515727493006645,0.4838227219453481,0.03562217003320427,-0.983109061063366
8,1.814,0.081,0.11203268468551601,-0.11353366784223114,0.006440264939859076,0.5516636699703676,0.04024729255098924,-1.122770307807952
9,1.992,0.081,0.12564625285107178,-0.128351513191663,0.006928957130417489,0.6195046179953873,0.044872415068774214,-1.2624141012600185
10,2.169,0.082,0.13925982101662757,-0.14316935854109483,0.0074176493209759005,0.6873455660204069,0.04951499087907913,-1.4020753480046046
11,2.347,0.092,0.15289084247470328,-0.1579872038905267,0.00788888821901437,0.7551865140454265,0.0541401133968641,-1.541719141456671
12,2.525,0.081,0.16650441064025903,-0.1728225025324785,0.008377580409572781,0.8230100087779261,0.05878268920716902,-1.6813803882012572
13,2.703,0.08,0.18011797880581482,-0.18764034788191036,0.008866272600131194,0.8908509568029457,0.063407811724954,-1.8210241816533237
14,2.881,0.081,0.19373154697137057,-0.20245819323134223,0.009354964790689606,0.9586919048279653,0.06803293424273897,-1.96066797510539
15,3.087,0.109,0.20734511513692636,-0.21727603858077407,0.009826203688728075,1.026532852852985,0.07267551005304387,-2.100329221849976
16,3.414,0.26,0.2209586833024821,-0.23209388393020594,0.010314895879286487,1.0943738008780044,0.07730063257082886,-2.2399730153020427
17,3.738,0.324,0.13903292821386828,-0.20682151636132803,0.051871185369271475,1.0642319646960623,0.11147417932487783,-2.2778641133628392
18,3.934,0.196,0.05708971983273452,-0.1815316954999302,0.09342747485925645,1.0340726752216003,0.14564772607892681,-2.315737758131116
19,4.129,0.118,-0.024853488548399253,-0.15625932793105232,0.1349663110567215,1.0039308390396584,0.17982127283297578,-2.3536114028993933
20,4.325,0.118,-0.10677924363701309,-0.1309695070696545,0.17652260054670652,0.9737890028577162,0.21399481958702474,-2.39148504766767
21,4.521,0.118,-0.18872245201814686,-0.1056971395007766,0.21807889003669145,0.9436471666757742,0.2481683663410737,-2.4293761457284675
22,4.716,0.118,-0.2706482071067607,-0.08040731863937876,0.2596351795266765,0.9135053304938321,0.2823419130951227,-2.467249790496744
23,4.912,0.116,-0.35259141548789447,-0.055117497777980924,0.3011740157241415,0.88336349431189,0.3165154598491717,-2.5051234352650207
24,5.108,0.118,-0.4345171705765083,-0.029845130209103034,0.3427303052141265,0.853221658129948,0.3506890066032206,-2.543014533325818
25,5.303,0.117,-0.5164603789576421,-0.0045553093477052,0.3842865947041115,0.823062368655486,0.3848625533572696,-2.580888178094095
26,5.499,0.116,-0.5983861340462558,0.02071705822117269,0.4258428841940965,0.7929205324735438,0.4190361001113186,-2.618761822862372
27,5.694,0.117,-0.6803293424273896,0.04600687908257053,0.46739917368408146,0.7627786962916018,0.4532096468653675,-2.656635467630649
28,5.89,0.116,-0.7622725508085234,0.07127924665144841,0.5089380098815465,0.7326368601096597,0.48738319361941657,-2.6945265656914454
29,6.086,0.117,-0.8441983058971373,0.09656906751284626,0.5504942993715315,0.7024950239277177,0.5215567403734654,-2.7324002104597227
30,6.281,0.117,-0.9261415142782711,0.12184143508172414,0.5920505888615164,0.6723531877457757,0.5557302871275145,-2.7702738552279995
31,6.477,0.117,-1.0080672693668848,0.14713125594312199,0.6336068783515014,0.6421938982713136,0.5899038338815634,-2.8081649532887965
32,6.672,0.117,-1.0900104777480186,0.17240362351199987,0.6751457145489665,0.6120520620893715,0.6240773806356124,-2.8460385980570733
33,6.868,0.117,-1.1719362328366325,0.1976934443733977,0.7167020040389515,0.5819102259074295,0.6582509273896614,-2.88391224282535
34,7.064,0.117,-1.2538794412177663,0.22298326523479553,0.7582582935289365,0.5517683897254874,0.6924244741437104,-2.9217858875936273
35,7.259,0.118,-1.3358226495989,0.24825563280367344,0.7998145830189215,0.5216265535435453,0.7265980208977594,-2.9596769856544243
36,7.455,0.117,-1.4177484046875137,0.27354545366507127,0.8413534192163865,0.4914847173616032,0.7607715676518083,-2.9975506304227015
37,7.65,0.118,-1.4996916130686477,0.2988178212339491,0.8829097087063715,0.4613428811796611,0.7949451144058572,-3.0354242751909783
38,7.846,0.118,-1.5816173681572616,0.324107642095347,0.9244659981963566,0.4311835917051991,0.8291186611599063,-3.073315373251775
39,8.042,0.118,-1.6635605765383952,0.3493800096642249,0.9660222876863414,0.40104175552325705,0.8632922079139552,-3.111189018020052
40,8.237,0.118,-1.745486331627009,0.3746698305256227,1.0075611238838065,0.370899919341315,0.8974657546680042,-3.149062662788329
41,8.433,0.116,-1.8274295400081426,0.3999421980945006,1.0491174133737915,0.3407580831593729,0.9316393014220531,-3.186936307556606
42,8.628,0.118,-1.9093727483892766,0.42523201895589846,1.0906737028637765,0.31061624697743084,0.9658128481761022,-3.2248274056174027
43,8.824,0.117,-1.9912985034778905,0.45050438652477637,1.1322299923537615,0.28047441079548874,0.9999863949301512,-3.2627010503856795
44,9.02,0.128,-2.073241711859024,0.4757942073861742,1.1737862818437466,0.2503325746135467,1.0341599416842,-3.3005746951539567
45,9.215,0.117,-2.155167466947638,0.501084028247572,1.2153251180412115,0.22017328513908468,1.068333488438249,-3.3384657932147537
46,9.501,0.206,-2.2371106753287715,0.5263563958164499,1.2568814075311965,0.1900314489571426,1.1025070351922979,-3.3763394379830305
47,9.734,0.233,-2.2972023614749366,0.5493772886502551,1.2837769313044292,0.1439547567044923,1.1229448407331517,-3.347489145447564
48,9.878,0.096,-2.357311500913621,0.5723981814840603,1.3106724550776618,0.097878064451842,1.1433651929814854,-3.3186388529120983
49,10.021,0.024,-2.417420640352306,0.5954190743178656,1.3375679788508943,0.05178391890667176,1.1638029985223388,-3.289788560376632
50,10.371,0.219,-2.4775123264984704,0.6184399671516707,1.364463502624127,0.005707226654021458,1.1842233507706725,-3.260938267841165
1,0.439,0.416,-2.518981349525856,0.5827654372409067,1.372090591455342,-0.02410299697004169,1.088369868251144,-3.2811840871642994
2,0.622,0.183,-2.560467825845761,0.5470734540376225,1.3797176802865576,-0.0538957673015849,0.9925163857316154,-3.3014648130724735
3,0.762,0.048,-2.6019368488731467,0.5113640175418186,1.3873273158252526,-0.0836885376331281,0.8966629032120869,-3.321728085688128
17,2.538,0.001,-3.244287826777139,-0.003141592653589793,1.4971783389457758,-0.5131966132564126,-0.4840321614555874,-3.61342496357394
18,2.726,0.056,-3.29347120509834,-0.04068362486398782,1.5051894002124298,-0.5445427266222308,-0.5847202060031403,-3.6346830738632314
19,3.164,0.354,-3.3426545834195402,-0.07820820378186591,1.5132179147716036,-0.575888839988049,-0.6854082505506932,-3.655941184152522
20,3.594,0.429,-3.396829603401444,-0.04520402762665313,1.5070743558045836,-0.5490456760923762,-0.5963091922363826,-3.636550576162865
21,3.77,0.176,-3.451022076675868,-0.012199851471440364,1.5009482501300837,-0.5222199654892233,-0.5072101339220721,-3.6171425148806886
22,3.907,0.04,-3.505197096657772,0.020821777976292352,1.4948046911630635,-0.4953768015935505,-0.4180936223152416,-3.597751906891031
25,4.319,0.008,-3.6677396098960036,0.11985175973445061,1.476391467554523,-0.4148822164915721,-0.15079644737231007,-3.53956262962954
26,4.538,0.099,-3.7219320831704277,0.15285593588966337,1.4702653618800232,-0.3880390525958993,-0.0616799357654796,-3.5201720216398833
27,4.743,0.145,-3.732875297580432,0.19528489000564553,1.4624113802460488,-0.35341172023633177,0.05166174585903215,-3.4957723186970027
28,4.899,0.086,-3.7438359652829565,0.23771384412162766,1.4545573986120743,-0.3187669345842443,0.16500342748354394,-3.471355162461602
29,5.043,0.026,-3.7547966329854807,0.2801427982376098,1.4467034169780997,-0.2841221489321569,0.2783625624005756,-3.4469554595187213
30,5.187,0.012,-3.7657573006880054,0.322571752353592,1.4388494353441252,-0.2494948165725894,0.3917042440250874,-3.4225383032833205
31,5.332,0.014,-3.7767179683905296,0.36498325317705416,1.4310129070026707,-0.21485003092050198,0.5050459256495992,-3.39813860034044
32,5.476,0.016,-3.7876786360930543,0.40741220729303634,1.4231589253686963,-0.18020524526841453,0.6184050605666309,-3.373721444105039
33,5.62,0.014,-3.798639303795578,0.44984116140901853,1.4153049437347216,-0.14557791290884703,0.7317467421911427,-3.349321741162158
34,5.765,0.015,-3.8095825182055827,0.4922701155250006,1.4074509621007474,-0.11093312725675958,0.8451058771081743,-3.3249045849267573
35,5.918,0.024,-3.8205431859081074,0.5346990696409828,1.399596980466773,-0.07628834160467216,0.9584475587326861,-3.3005048819838767
36,6.117,0.078,-3.8315038536106316,0.577110570464445,1.3917429988327983,-0.041661009245104644,1.0717892403571978,-3.276087725748476
37,6.591,0.399,-3.8424645213131563,0.6195395245804272,1.3839064704913437,-0.007016223593017205,1.1851483752742296,-3.2516880228055953
1,0.425,0.402,-3.8133349760973707,0.5821720252952286,1.3746736787482938,0.08356636458548851,1.1552334318950468,-3.1999390104839636
2,0.602,0.176,-3.7841879775890654,0.5447521661324701,1.3654932468828036,0.1741489527639942,1.125301035223344,-3.1482074514548515
3,0.737,0.037,-3.75504097908076,0.5073497602622317,1.3563128150173134,0.26471408764997995,1.0953860918441611,-3.09647589242574
29,3.818,0.039,-2.9973586442049815,-0.4652873252891683,1.117586679929529,2.6195995809033294,0.3174055777676888,-1.7514553576688296
30,4.197,0.283,-2.9682116456966767,-0.5027071844519267,1.1084062480640389,2.710164715789315,0.287473181095986,-1.6997237986397178
31,4.636,0.439,-2.8881184863226568,-0.48912852287141084,1.0786309310250157,2.636825980620513,0.2795842928769716,-1.6540659854075461
32,4.828,0.191,-2.808025326948637,-0.475549861290895,1.0488730672785123,2.5634697921591916,0.2716779513654374,-1.6083907188828543
33,5.019,0.108,-2.7279321675746173,-0.4619711997103791,1.0190977502394891,2.49013105699039,0.263789063146423,-1.562715452358163
34,5.21,0.108,-2.6478390082005974,-0.4483925381298632,0.9893224332004658,2.416774868529068,0.2558827216348886,-1.5170401858334712
35,5.401,0.108,-2.5677283955340577,-0.43481387654934733,0.9595645694539624,2.3434186800677463,0.24797638012335435,-1.4713649193087797
36,5.592,0.108,-2.487635236160038,-0.4212352149688315,0.9297892524149393,2.270079944898945,0.24008749190433998,-1.425689652784088
37,5.784,0.109,-2.4075420767860183,-0.4076565533883155,0.9000139353759159,2.196723756437623,0.23218115039280568,-1.3800143862593965
38,5.975,0.109,-2.3274489174119983,-0.39409534510031957,0.8702386183368926,2.123367567976301,0.22427480888127135,-1.3343391197347048
39,6.166,0.109,-2.247355758037979,-0.3805166835198037,0.8404807545903893,2.0500288328074996,0.21638592066225698,-1.2886638532100132
40,6.357,0.109,-2.1672451453714388,-0.3669380219392879,0.8107054375513661,1.976672644346178,0.20847957915072268,-1.2429885866853216
41,6.549,0.108,-2.087151985997419,-0.3533593603587719,0.7809301205123428,1.9033339091773762,0.20057323763918836,-1.19731332016063
42,6.74,0.108,-2.0070588266233993,-0.33978069877825606,0.7511722567658395,1.8299777207160544,0.19268434942017396,-1.1516380536359383
43,6.931,0.107,-1.9269656672493793,-0.3262020371977402,0.7213969397268162,1.756621532254733,0.18477800790863966,-1.1059627871112467
44,7.122,0.108,-1.8468725078753596,-0.3126233756172243,0.691621622687793,1.683282797085931,0.17687166639710536,-1.060304973879075
45,7.313,0.109,-1.7667618952088198,-0.2990447140367084,0.6618637589412896,1.6099266086246096,0.168982778178091,-1.0146297073543835
46,7.505,0.109,-1.6866687358348,-0.28546605245619255,0.6320884419022664,1.5365878734558078,0.16107643666655666,-0.968954440829692
47,7.696,0.108,-1.6065755764607803,-0.27188739087567665,0.6023131248632431,1.4632316849944862,0.15317009515502236,-0.9232791743050003
48,7.887,0.108,-1.5264824170867606,-0.2583087292951608,0.5725378078242199,1.3898754965331643,0.145281206936008,-0.8776039077803087
49,8.078,0.108,-1.4463892577127409,-0.2447300677146449,0.5427799440777166,1.3165367613643626,0.1373748654244737,-0.831928641255617
50,8.269,0.108,-1.366278645046201,-0.231151406134129,0.5130046270386933,1.243180572903041,0.12946852391293937,-0.7862533747309255
51,8.461,0.109,-1.2861854856721813,-0.21759019784613307,0.48322930999967006,1.1698243844417193,0.121579635693925,-0.7405781082062339
52,8.652,0.109,-1.2060923262981615,-0.2040115362656172,0.4534714462531667,1.0964856492729176,0.11367329418239068,-0.6949028416815423
53,8.843,0.108,-1.1259991669241418,-0.19043287468510128,0.42369612921414346,1.023129460811596,0.10576695267085637,-0.6492275751568507
54,9.034,0.109,-1.0459060075501219,-0.1768542131045854,0.3939208121751202,0.9497907256427941,0.097878064451842,-0.6035523086321591
55,9.226,0.108,-0.9657953948835821,-0.16327555152406953,0.36414549513609695,0.8764345371814726,0.0899717229403077,-0.5578770421074675
56,9.417,0.108,-0.8857022355095624,-0.14969688994355365,0.3343876313895936,0.8030783487201508,0.08206538142877337,-0.5122017755827759
57,9.608,0.109,-0.8056090761355427,-0.13611822836303777,0.30461231435057035,0.7297396135513491,0.07417649320975901,-0.46654396235060425
58,9.799,0.108,-0.7255159167615229,-0.12253956678252187,0.2748369973115471,0.6563834250900275,0.0662701516982247,-0.42086869582591263
59,9.99,0.109,-0.645422757387503,-0.108960905202006,0.24507913356504374,0.5830272366287058,0.05836381018669038,-0.375193429301221
60,10.182,0.109,-0.5653121447209634,-0.0953822436214901,0.2153038165260205,0.5096885014599041,0.05047492196767601,-0.3295181627765294
61,10.373,0.108,-0.4852189853469435,-0.08180358204097424,0.18552849948699723,0.4363323129985824,0.042568580456141696,-0.28384289625183784
62,10.564,0.108,-0.4051258259729238,-0.06822492046045833,0.15577063574049393,0.36299357782978064,0.03466223894460738,-0.23816762972714622
63,10.755,0.108,-0.325032666598904,-0.0546637121724624,0.12599531870147065,0.28963738936845895,0.026773350725593014,-0.1924923632024546
64,10.947,0.108,-0.24493950722488422,-0.04108505059194652,0.09622000166244739,0.21628120090713732,0.018867009214058702,-0.14681709667776302
65,11.138,0.109,-0.16482889455834449,-0.027506389011430633,0.06644468462342412,0.14294246573833558,0.01096066770252439,-0.10114183015307139
66,11.329,0.109,-0.0847357351843247,-0.013927727430914751,0.0366868208769208,0.06958627727701393,0.00307177948351002,-0.05546656362837979
67,11.73,0.318,-0.004642575810304917,-0.00034906585039886593,0.006911503837897545,-0.0037524578917878084,-0.0048345620280242935,-0.009791297103688189
